combination,position,row,column,radius,pa_degrees,amplitude,template,cosine,fixed_position_bias_fraction,relative_template_error,best_scaled_template_error,paired_relative_template_error,one_sided_vs_paired_relative_error,fit_status,contrast_bias_fraction,position_error_pixels,row_error_pixels,column_error_pixels,raw_fit_status,raw_contrast_bias_fraction,raw_position_error_pixels,raw_row_error_pixels,raw_column_error_pixels
mean,0,120,137,12.103718436910205,38.29016319224307,0.0011909814823390977,analytic,0.9567533085946539,0.07748601723732329,0.2989265008388127,0.29090050961313796,0.2991127121447263,0.012602057892255946,converged,0.08445504894085931,0.20441422444016483,0.08388760705173492,-0.186408273787962,bounded_peak,1.2185178421061957,1.0444653758608724,0.3015094051139924,-1.0
mean,0,120,137,12.103718436910205,38.29016319224307,0.0011909814823390977,refit,0.9562982505219774,0.08084117953793601,0.30101433355709417,0.292392982215041,0.30123651883326574,0.012602057892255946,converged,0.08821021783739624,0.20555527631167525,0.08388896415696445,-0.1876582353967997,bounded_peak,1.2414378780209692,1.0422462282923515,0.2937298084798896,-1.0
mean,0,120,137,12.103718436910205,38.29016319224307,0.004763925929356391,analytic,0.9576029211642547,0.06868981841583688,0.2945929645375556,0.28809138372691123,0.2961723582298819,0.022540911469804956,converged,0.0749864753703533,0.20394108934585006,0.08215283824886299,-0.18666247370917421,converged,0.2928012788077252,0.5900767069251166,0.2506562488297357,-0.5341928162922032
mean,0,120,137,12.103718436910205,38.29016319224307,0.004763925929356391,refit,0.9571913247066586,0.07206672057743657,0.29652147933049317,0.28945598612969103,0.29821261874581395,0.022540911469804956,converged,0.07874903012033019,0.20500059679373062,0.0821357630814541,-0.18782694457615223,converged,0.3000766378025621,0.6041433001532845,0.2561772154868933,-0.5471401661233468
mean,0,120,137,12.103718436910205,38.29016319224307,0.019055703717425564,analytic,0.9619202809557548,-0.019879768681492216,0.274025614405724,0.27333015400061883,0.2663411991593283,0.06398881731939825,converged,-0.020760164822665628,0.12286701566873873,0.02831612757645141,-0.11955961048119979,converged,0.02907852086103424,0.24608521364271496,0.08265809467096519,-0.23178777310062415
mean,0,120,137,12.103718436910205,38.29016319224307,0.019055703717425564,refit,0.9616540096594646,-0.016632229217047212,0.2747473658505636,0.27426550221614465,0.26731423601143367,0.06398881731939825,converged,-0.017179382806224552,0.1240935971779841,0.028514639904225536,-0.12077307718073649,converged,0.03330755966430621,0.2503883215576222,0.08421824064668648,-0.23579991415354673
mean,1,137,120,12.103718436910205,231.70983680775691,0.0011909814823390977,analytic,0.9557963790201596,0.03724666613389904,0.2960257953505253,0.29402938943573564,0.2917521983160041,0.025969948180427378,converged,0.040735912270298824,0.16885567705082796,-0.14582725838515143,0.0851272599357209,converged,0.8013501529241573,1.1133787366739738,0.8809340058123865,-0.680857906380675
mean,1,137,120,12.103718436910205,231.70983680775691,0.0011909814823390977,refit,0.9556174600755498,0.040914845532380895,0.296995253948343,0.2946103698085924,0.2927056281432524,0.025969948180427378,converged,0.04484056728232888,0.17021767337596178,-0.14641418252022764,0.08681557168192278,converged,0.8126664841670914,1.0943496384990676,0.866461406353908,-0.6684652291497652
mean,1,137,120,12.103718436910205,231.70983680775691,0.004763925929356391,analytic,0.95580115843281,0.032994273095936055,0.29559456456448757,0.2940138526302764,0.28966416095463665,0.030513173266890643,converged,0.03780730730817816,0.17926922947922388,-0.15370151136776666,0.09226755681895416,converged,0.15335014892514565,0.6648855058293445,0.5490441731207354,-0.37499764242473743
mean,1,137,120,12.103718436910205,231.70983680775691,0.004763925929356391,refit,0.9555599053339133,0.036579795720502295,0.2967193156238634,0.29479699340095444,0.290608855843696,0.030513173266890643,converged,0.041840131205082676,0.18086976765537036,-0.15446497293001737,0.09409806049774172,converged,0.1615536370598729,0.6235718186930153,0.5137343308205251,-0.3534386091027719
mean,1,137,120,12.103718436910205,231.70983680775691,0.019055703717425564,analytic,0.9602086771011503,-0.02722120801413208,0.2805730996754181,0.27928354126166927,0.27299976907453577,0.08231623331291028,converged,-0.022461487720135453,0.18022145641798615,-0.15307820578329467,0.09511485829031852,converged,0.011836014626612545,0.12739501639965606,-0.11855416525973039,0.04663046325136788
mean,1,137,120,12.103718436910205,231.70983680775691,0.019055703717425564,refit,0.9600022384123009,-0.023808160510765286,0.2809695456436198,0.2799923253294122,0.2728028404737321,0.08231623331291028,converged,-0.018651376110505047,0.18127621768156513,-0.15342268307119578,0.09655333974632674,converged,0.016509545110493296,0.13099225623554378,-0.1212379276312836,0.049601775143133686
mean,2,109,143,24.13503677229434,50.042451069170916,0.0011909814823390977,analytic,0.9963764979660416,0.04086746847044842,0.09361782705060441,0.0850521857504332,0.09210399675159649,0.00927397815275792,converged,0.03065954473853827,0.023541526721422686,0.01723515859104152,-0.016035984182990015,converged,-0.3209809663753971,0.6373891594259813,0.007681932635626776,0.6373428657047482
mean,2,109,143,24.13503677229434,50.042451069170916,0.0011909814823390977,refit,0.9960998233166415,0.061785909907769554,0.10556950758921246,0.08823345164140317,0.10436245652425856,0.00927397815275792,converged,0.050972928598730816,0.019670628856274738,0.013895986772811675,-0.013922470729405445,converged,-0.31105105652603493,0.6353350153970218,0.0033804305142637325,0.635326022195748
mean,2,109,143,24.13503677229434,50.042451069170916,0.004763925929356391,analytic,0.9966689754064383,0.027611250711509383,0.08583771852936424,0.08155337799429416,0.08022382037387095,0.019259659407533887,converged,0.01769759088182754,0.03197317786333109,0.021779842696665774,-0.02340774561525949,converged,-0.07708607837230907,0.04509390822196498,0.019501498666657735,0.04065897328370882
mean,2,109,143,24.13503677229434,50.042451069170916,0.004763925929356391,refit,0.9967166466613123,0.048604596742747974,0.09322188744339888,0.08096867461079602,0.08743136216118988,0.019259659407533887,converged,0.0380526041583189,0.02778987190456484,0.018201497202870787,-0.0209995828540952,converged,-0.05925868759486996,0.04453109168836752,0.016137555024669403,0.0415041858706271
mean,2,109,143,24.13503677229434,50.042451069170916,0.019055703717425564,analytic,0.9734558878055842,-0.2096445118180763,0.3450468683207636,0.22887471353699657,0.35743117428429705,0.036238731947367514,converged,-0.2188540198394413,0.03410967224856377,0.017447274011240133,-0.0293097657868695,converged,-0.24272640824301972,0.020775777302203837,0.015983260674086175,-0.013272840718360879
mean,2,109,143,24.13503677229434,50.042451069170916,0.019055703717425564,refit,0.9767946215921537,-0.19077071411010083,0.3144805373134895,0.21417812033128222,0.3263527331226359,0.036238731947367514,converged,-0.20064555065949763,0.029184119093405892,0.012931970302184848,-0.026162510417800267,converged,-0.22514616197975212,0.015713856272036683,0.011582079870652962,-0.010619826025318968
mean,3,146,112,24.13503677229434,230.0424510691709,0.0011909814823390977,analytic,0.9960822087849542,0.030264311101743768,0.09314715649331262,0.08843208321693243,0.09257195566764026,0.009651352830619351,converged,0.021465377565162536,0.050393476776741226,-0.0404578667390596,0.030044359213876604,converged,0.24556250445720673,0.16229919025684902,0.12346228657547931,0.10534747719610138
mean,3,146,112,24.13503677229434,230.0424510691709,0.0011909814823390977,refit,0.9959743657857953,0.05114775765236623,0.10190060157353935,0.0896385112414482,0.10123952204964035,0.009651352830619351,converged,0.04169189115687688,0.04573181008018471,-0.03662697261372516,0.02738363252681264,converged,0.27250972229793136,0.16178251906079927,0.13001941399616435,0.09627323334007176
mean,3,146,112,24.13503677229434,230.0424510691709,0.004763925929356391,analytic,0.9962204543009755,0.017036659507825958,0.08844938944528945,0.08686084522014632,0.08775138475889226,0.017743887286394724,converged,0.008038848134463095,0.046246766600439,-0.038401356301110745,0.025770123306469106,converged,0.06209756229411689,0.048895443832696624,0.005331950309527933,0.04860385512994947
mean,3,146,112,24.13503677229434,230.0424510691709,0.004763925929356391,refit,0.9964150436634815,0.037967041537499746,0.09211652872685612,0.08459941347965645,0.09094834861150021,0.017743887286394724,converged,0.028306018027604463,0.0415512973357763,-0.03450738711190837,0.02314628577104738,converged,0.0840320826373333,0.04511724018943949,0.010188891437498793,0.04395169909783281
mean,3,146,112,24.13503677229434,230.0424510691709,0.019055703717425564,analytic,0.9733456659169033,-0.21210028022024596,0.34821491754688993,0.22934300652249992,0.3439449963638949,0.035935202769220825,converged,-0.22134363719375472,0.025376576863756526,-0.02537565846340928,0.00021589550840195315,converged,-0.20801224432180343,0.015386162740283421,-0.013176245738913739,0.007944844372185234
mean,3,146,112,24.13503677229434,230.0424510691709,0.019055703717425564,refit,0.9765310062341218,-0.19341151325360184,0.31814936210968436,0.21537686473568507,0.31380757758415323,0.035935202769220825,converged,-0.20326665903337382,0.021393693359084396,-0.02126383062517312,-0.0023536403052466515,converged,-0.18951512044275676,0.009985488901286014,-0.00879203666025652,0.00473392859709687
mean,4,98,98,41.71930009000631,135.0,0.0011909814823390977,analytic,0.9869041156820921,-0.046257255261504815,0.16825986688214895,0.16130798631731583,0.16548472625198718,0.008236234091707016,converged,-0.0534206513512856,0.028985187680423807,-0.009986760831901531,-0.02721039714807172,converged,0.06678372001294752,0.08649088337375141,0.04230682968267763,-0.07543742485645155
